date,end_date,title,performers,venue,city,country,tickets
2026-12-21,,Concerto de Natal,Orquestra Metropolitana de Lisboa & Rubén Dubrovsky,Igreja de São Roque,Lisboa,PT,https://www.metropolitana.pt/programacao/concerto-de-natal-14/
2026-12-20,,Concerto de Natal,Orquestra Metropolitana de Lisboa & Rubén Dubrovsky,Fórum Municipal Luísa Todi,Setúbal,PT,https://www.metropolitana.pt/programacao/concerto-de-natal-13/
2026-10-25,2026-11-03,Claudio Monteverdi — L'Orfeo,Concentus Musicus Wien & Stefan Gottfried,Wiener Staatsoper,Vienna,AT,https://www.wiener-staatsoper.at/kalender/detail/lorfeo/2026-10-28/
2026-10-09,2026-10-11,Die Wunderkofferbande,"Christine Gnigler (Recorder & Singing) & Veronika Mandl (Text, Acting)",Wiener Musikverein,Vienna,AT,https://musikverein.at/konzert/?id=000e0e8f
2026-07-24,,Barock emotional — Music for a while,"Concentus Musicus Wien, Stefan Gottfried & Michael Schade",Herrenchiemsee Festspiele,Herrenchiemsee,DE,
2026-06-19,,Wolkentöne,"Christine Gnigler (Recorder & Singing) & Maartje Pasman (Dance)",Barockfestival St. Pölten,,AT,
2026-05-24,,"Verlieben, lieben und loslassen","M. Schade, C. Hammer & S. Falck",Internationale Barocktage Stift Melk,Melk,AT,
2026-05-23,,Unser Wandel ist im Himmel,Company of Music,Internationale Barocktage Stift Melk,Melk,AT,
2026-05-08,,Alexander's Feast HWV 75,Concentus Musicus Wien,Nikolaus Harnoncourt Tage,St. Georgen im Attergau,AT,
2026-04-30,,Händel auf Reisen,Bach Consort Wien & Kathrin Zukowski,Wiener Musikverein,Vienna,AT,
2026-04-10,2026-04-11,"John Dowland, Henry Purcell & Georg Friedrich Händel",Concentus Musicus Wien & Michael Schade,Casino Zögernitz,Vienna,AT,
2026-03-17,2026-04-01,MEDEA — G. F. Händel & M. Charpentier,Bach Consort Wien,Kammeroper Wien,Vienna,AT,
2026-03-10,2026-03-12,Mini hop: Wolkentöne,Christine Gnigler (Recorder & Singing),Wiener Konzerthaus,Vienna,AT,
2026-02-22,,Time Stands Still,Sheng-Fang Chiu,Live Forever Foundation,Taichung City,TW,
2026-02-01,2026-02-04,CD Recording — Concertos for Oboe & Violin,"Nuovo Barocco, Bettina Simon & Dimitris Karakantas",,,,
2025-12-06,,Inauguration der Heracles-Hebe-Stiftung der Danube Private University,Julian Prégardien,,Unterloiben,AT,
2025-11-22,,Musica Humana — Solo Lute Recital,,Johann Joseph Fux Konservatorium,Graz,AT,
2025-11-15,,Schuberts Winterreise in der Wachau,Michael Schade & Florian Krumpöck,Weingut Jamek,Joching,AT,
2025-11-08,,Fantasie & Fandango,Agnes Stradner,Kammermusik in Hütten,Hütten,AT,
2025-10-26,2025-10-27,Barocke Meisterwerke aus (Alt-)Österreich,Concentus Musicus Wien,Casino Zögernitz,Vienna,AT,
2025-10-16,,Wiener Konzerthaus-Soirée,Julian Prégardien,Wiener Konzerthaus,Vienna,AT,
2025-08-30,,Kaffee & Kuchen,Neue Hofkapelle Graz,Schloss Dornhofen,,AT,
2025-08-07,,Vivaldi,David Bergmüller & Proxima D,Montafoner Resonanzen,,AT,
2025-07-16,,Bella Italia,Ensemble Le Masque,,Freistadt,AT,
2025-06-28,,Musikalischer Rundgang,"Lucija Varsic, mezzosopran",,Schlierbach,AT,
2025-06-14,,Talking About,Neue Hofkapelle Graz,,Beuren,DE,
2025-06-08,,Geschichte einer Frau,Ensemble Les Aimables,Internationale Barocktage Stift Melk,Melk,AT,
2025-05-31,,Échoes Nocturnes,Ensemble Les Aimables,,Vienna,AT,
2025-05-29,,Échoes Nocturnes,Ensemble Les Aimables,,Vorau,AT,
2025-05-18,,Bella Italia,Ensemble Le Masque,,Vienna,AT,
2025-05-17,,Bella Italia,Ensemble Le Masque,,Stadl-Paura,AT,
2025-05-10,,Lass Tanzen,Ensemble Roccoca,,Kumberg,AT,
2025-05-09,,Lass Tanzen,Ensemble Roccoca,,Zell am See,AT,
2025-05-08,,Lass Tanzen,Ensemble Roccoca,,Goldegg,AT,
2025-04-11,,Solo-Concert,,2nd Guitar Symposium,Eisenstadt,AT,
2025-03-20,,Claudio Monteverdi,Bach Consort Wien,Musikverein,Vienna,AT,
2025-02-09,,Kaffee & Kuchen,Neue Hofkapelle Graz,,Graz,AT,
2025-02-08,,Kaffee & Kuchen,Neue Hofkapelle Graz,,Graz,AT,
2024-12-15,,Winterreise,Michael Schade & Christoph Hammer,Brucknerhaus,Linz,AT,
2024-12-07,,Navidad Nuestra,Ars Nova Musicae,,Hainburg,AT,
2024-12-06,,70 Jahre Beat Furrer,Cantando Admont,Helmut List Halle,Graz,AT,
2024-11-23,,Barockschätze aus Österreich und Portugal,Agnes Stradner,,Vienna,AT,
2024-11-08,,Alexanderfest,Concentus Musicus,Festival Bach de Lausanne,Lausanne,CH,
2024-10-05,,Alexanderfest,Concentus Musicus,Musikverein,Vienna,AT,
2024-09-08,,Alte Musik trifft Kung Fu,,,Cologne,DE,
2024-06-03,2024-06-23,Richard III,Bach Consort Wien,Kammeroper,Vienna,AT,
2024-06-02,,La Regina Saba,mdw Barockorchester & Stefan Gottfried,,Graz,AT,
2024-05-30,,La Regina Saba,mdw Barockorchester & Stefan Gottfried,,Vienna,AT,
2024-02-27,,Il Trionfo del Tempo e del Disinganno,Bach Consort Wien,Museumsquartier,Vienna,AT,
